SLICE_ID,SLICE_NAME,SLICE_ID_MM
002,slice_002,0179
003,slice_003,0247
004,slice_004,0307
005,slice_005,0370
007,slice_007,0494
008,slice_008,0538
009,slice_009,0550
010,slice_010,0614
011,slice_011,0654
012,slice_012,0678
013,slice_013,0726
014,slice_014,0782
015,slice_015,0846
016,slice_016,0910
017,slice_017,0978
018,slice_018,1042
019,slice_019,1117
020,slice_020,1133
021,slice_021,1141
022,slice_022,1165
023,slice_023,1177
025,slice_025,1217
027,slice_027,1249
028,slice_028,1261
029,slice_029,1277
030,slice_030,1289
031,slice_031,1297
032,slice_032,1313
033,slice_033,1321
035,slice_035,1341
036,slice_036,1349
037,slice_037,1361
038,slice_038,1373
039,slice_039,1389
040,slice_040,1397
041,slice_041,1409
042,slice_042,1417
043,slice_043,1460
044,slice_044,1476
045,slice_045,1492
046,slice_046,1508
048,slice_048,1532
049,slice_049,1552
050,slice_050,1564
051,slice_051,1576
052,slice_052,1588
053,slice_053,1600
054,slice_054,1616
055,slice_055,1632
056,slice_056,1652
057,slice_057,1664
058,slice_058,1684
059,slice_059,1704
060,slice_060,1716
061,slice_061,1732
062,slice_062,1740
063,slice_063,1752
065,slice_065,1835
066,slice_066,1851
067,slice_067,1871
068,slice_068,1883
069,slice_069,1895
070,slice_070,1907
072,slice_072,1935
073,slice_073,1947
074,slice_074,1967
075,slice_075,1983
076,slice_076,1995
078,slice_078,2027
079,slice_079,2043
080,slice_080,2059
081,slice_081,2079
082,slice_082,2087
084,slice_084,2190
085,slice_085,2206
086,slice_086,2222
087,slice_087,2238
089,slice_089,2270
090,slice_090,2294
091,slice_091,2310
093,slice_093,2338
094,slice_094,2354
095,slice_095,2370
096,slice_096,2382
097,slice_097,2398
098,slice_098,2414
099,slice_099,2434
100,slice_100,2446
101,slice_101,2462
102,slice_102,2545
104,slice_104,2673
105,slice_105,2737
106,slice_106,2797
