SLICE_ID,SLICE_NAME
296,slice_296
311,slice_311
207,slice_207
227,slice_227
100,slice_100
177,slice_177
048,slice_048
021,slice_021
060,slice_060
354,slice_354
221,slice_221
189,slice_189
265,slice_265
055,slice_055
314,slice_314
114,slice_114
151,slice_151
289,slice_289
281,slice_281
353,slice_353
038,slice_038
051,slice_051
045,slice_045
031,slice_031
173,slice_173
159,slice_159
254,slice_254
095,slice_095
246,slice_246
331,slice_331
329,slice_329
310,slice_310
064,slice_064
190,slice_190
248,slice_248
154,slice_154
191,slice_191
212,slice_212
047,slice_047
356,slice_356
239,slice_239
275,slice_275
059,slice_059
099,slice_099
244,slice_244
132,slice_132
224,slice_224
245,slice_245
174,slice_174
220,slice_220
273,slice_273
198,slice_198
118,slice_118
243,slice_243
169,slice_169
324,slice_324
316,slice_316
028,slice_028
053,slice_053
092,slice_092
037,slice_037
065,slice_065
219,slice_219
113,slice_113
203,slice_203
153,slice_153
168,slice_168
143,slice_143
342,slice_342
172,slice_172
240,slice_240
080,slice_080
017,slice_017
135,slice_135
106,slice_106
167,slice_167
120,slice_120
322,slice_322
129,slice_129
058,slice_058
040,slice_040
267,slice_267
139,slice_139
148,slice_148
211,slice_211
146,slice_146
056,slice_056
250,slice_250
194,slice_194
357,slice_357
034,slice_034
256,slice_256
259,slice_259
202,slice_202
137,slice_137
228,slice_228
133,slice_133
352,slice_352
117,slice_117
268,slice_268
183,slice_183
188,slice_188
181,slice_181
330,slice_330
082,slice_082
044,slice_044
286,slice_286
171,slice_171
101,slice_101
215,slice_215
291,slice_291
033,slice_033
155,slice_155
319,slice_319
087,slice_087
024,slice_024
096,slice_096
204,slice_204
326,slice_326
027,slice_027
285,slice_285
050,slice_050
162,slice_162
297,slice_297
150,slice_150
292,slice_292
270,slice_270
043,slice_043
266,slice_266
104,slice_104
042,slice_042
185,slice_185
328,slice_328
090,slice_090
068,slice_068
210,slice_210
214,slice_214
196,slice_196
299,slice_299
301,slice_301
116,slice_116
206,slice_206
121,slice_121
346,slice_346
089,slice_089
127,slice_127
109,slice_109
077,slice_077
062,slice_062
272,slice_272
149,slice_149
247,slice_247
347,slice_347
111,slice_111
124,slice_124
088,slice_088
282,slice_282
142,slice_142
288,slice_288
097,slice_097
258,slice_258
076,slice_076
147,slice_147
253,slice_253
290,slice_290
108,slice_108
035,slice_035
192,slice_192
057,slice_057
257,slice_257
103,slice_103
025,slice_025
063,slice_063
140,slice_140
344,slice_344
093,slice_093
335,slice_335
327,slice_327
280,slice_280
318,slice_318
091,slice_091
223,slice_223
023,slice_023
304,slice_304
216,slice_216
020,slice_020
066,slice_066
361,slice_361
287,slice_287
156,slice_156
336,slice_336
079,slice_079
036,slice_036
341,slice_341
094,slice_094
260,slice_260
209,slice_209
029,slice_029
032,slice_032
170,slice_170
236,slice_236
110,slice_110
157,slice_157
107,slice_107
232,slice_232
315,slice_315
054,slice_054
249,slice_249
283,slice_283
179,slice_179
070,slice_070
217,slice_217
122,slice_122
222,slice_222
071,slice_071
178,slice_178
072,slice_072
197,slice_197
067,slice_067
187,slice_187
337,slice_337
277,slice_277
069,slice_069
235,slice_235
351,slice_351
165,slice_165
163,slice_163
125,slice_125
075,slice_075
123,slice_123
141,slice_141
138,slice_138
226,slice_226
252,slice_252
134,slice_134
230,slice_230
358,slice_358
308,slice_308
274,slice_274
030,slice_030
161,slice_161
195,slice_195
022,slice_022
263,slice_263
348,slice_348
136,slice_136
238,slice_238
046,slice_046
098,slice_098
279,slice_279
309,slice_309
180,slice_180
333,slice_333
073,slice_073
145,slice_145
294,slice_294
074,slice_074
323,slice_323
340,slice_340
164,slice_164
078,slice_078
349,slice_349
278,slice_278
158,slice_158
334,slice_334
300,slice_300
112,slice_112
200,slice_200
160,slice_160
350,slice_350
026,slice_026
303,slice_303
052,slice_052
208,slice_208
317,slice_317
186,slice_186
321,slice_321
201,slice_201
225,slice_225
144,slice_144
152,slice_152
102,slice_102
242,slice_242
295,slice_295
307,slice_307
175,slice_175
312,slice_312
018,slice_018
355,slice_355
305,slice_305
105,slice_105
262,slice_262
182,slice_182
041,slice_041
241,slice_241
131,slice_131
128,slice_128
126,slice_126
084,slice_084
081,slice_081
016,slice_016
061,slice_061
345,slice_345
130,slice_130
119,slice_119
039,slice_039
083,slice_083
302,slice_302
320,slice_320
264,slice_264
049,slice_049
199,slice_199
271,slice_271
338,slice_338
313,slice_313
269,slice_269
293,slice_293
086,slice_086
166,slice_166
284,slice_284
325,slice_325
237,slice_237
233,slice_233
229,slice_229
261,slice_261
255,slice_255
176,slice_176
234,slice_234
231,slice_231
276,slice_276
115,slice_115
332,slice_332
213,slice_213
339,slice_339
298,slice_298
251,slice_251
019,slice_019
343,slice_343
184,slice_184
306,slice_306
085,slice_085
193,slice_193
218,slice_218
205,slice_205
